,Title,Published_date,Views,Likes,Comments,Month
926,Mercedes GLS 2020 SUV review - see if it’s better than the BMW X7!,2019-06-24,3318700,43685,2508,Jun
843,Ferrari LaFerrari review – is this the best supercar ever?,2019-10-25,3317792,71343,3023,Oct
299,Porsche 911 GT3 RS v 450hp VW Beetle?! DRAG RACE,2021-11-03,3309513,114518,4513,Nov
1156,Audi A8 2019 in-depth review | carwow Reviews,2018-06-29,3299561,34479,1860,Jun
1245,"Honda Civic Type R generations DRAG & ROLLING RACE, BRAKE TEST and review | Head2Head",2018-01-20,3298870,41752,3292,Jan
425,Audi RS e-tron GT v Tesla Model S: 571-mile Scotland-to-London RACE & REVIEW!,2021-06-11,3276623,66991,5272,Jun
1137,"New Aston Martin DBS Superleggera 2019 review - see why it IS worth £225,000!",2018-08-01,3274284,48925,2340,Aug
795,Audi RS5 vs RS3 vs S4 vs old RS4: Drag Race *Closer than you think*,2020-01-11,3269219,54551,2002,Jan
1112,Range Rover Sport SUV 2019 in-depth review | carwow,2018-09-14,3225338,33036,1861,Sep
688,Mercedes SLR McLaren vs Ferrari GTC4 vs Aston DBS: DRAG RACE,2020-07-18,3220966,93698,6293,Jul
637,£50M of rare Mercedes launched 0-60mph! I can't believe they let me do this!,2020-09-22,3216605,102119,3036,Sep
910,Range Rover SUV 2020 in-depth review | carwow Reviews,2019-07-19,3205200,39749,2779,Jul
658,I'm the FIRST to go in the 300mph Bugatti Chiron Super Sport *WORLD EXCLUSIVE*,2020-08-25,3196863,132998,9037,Aug
596,Porsche 911 Turbo S vs Ferrari 488 Pista vs Lamborghini Huracán Performante - DRAG RACE,2020-11-14,3195167,117018,7323,Nov
302,Nissan GT-R 1600hp v 1000hp v 650hp: DRAG RACE,2021-10-30,3174085,119792,3998,Oct
555,Lamborghini Huracan v Audi R8 v Nissan GT-R - DRAG RACE,2021-01-02,3173430,106363,7356,Jan
1060,"Jeep Trackhawk vs Tesla Model X vs AMG GLC 63 - DRAG RACE, ROLLING RACE & BRAKE TEST",2018-12-08,3145349,56796,4675,Dec
